,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
59,1600.0,75.0,5.173662900924683,7.483323812484741,2.348732054233551,1.68609619140625,3.4531250596046448,4.774558060159552
49,1600.0,100.0,7.07222044467926,10.036876201629639,3.2978516817092896,2.3984375596046448,4.7968751192092896,7.730050169727677
1,1600.0,125.0,7.629690766334534,10.79778790473938,3.602554202079773,2.6422119140625,5.2031248807907104,5.150526484946471
53,1600.0,200.0,7.820788025856018,10.935255289077759,3.8140758872032166,2.8168335556983948,5.4218751192092896,6.713082785160345
27,1600.0,250.0,5.018643140792847,6.781796216964722,2.5645703077316284,1.9148559868335724,3.5781249403953552,4.153139644008754
0,1600.0,350.0,97.13804244995117,123.53556632995605,50.662808418273926,35.78320264816284,73.87499809265137,64.16077355116262
57,1600.0,450.0,666.3153839111328,890.7466888427734,328.41602325439453,246.76563262939453,464.50000762939453,505.40266058676207
13,1700.0,75.0,5.232464671134949,7.781522870063782,2.3297119140625,1.6650390625,3.4375,5.0482932681144765
61,1700.0,100.0,6.657562255859375,9.33786690235138,3.1221312284469604,2.2578124701976776,4.515624940395355,6.616512028272615
63,1700.0,200.0,7.930022478103638,11.055920124053955,3.785739839076996,2.76123046875,5.4374998807907104,6.77888308043334
65,1700.0,250.0,4.769881367683411,6.477833986282349,2.3763808608055115,1.7763671278953552,3.3437499403953552,3.501883390262006
26,1700.0,350.0,54.29089546203613,71.45910263061523,24.242055416107178,17.25732445716858,37.125000953674316,30.536662052611877
66,1700.0,500.0,622.2430801391602,860.9902191162109,301.3741874694824,224.384765625,425.49999237060547,472.37987066477586
17,1800.0,75.0,4.039317071437836,6.339776515960693,1.7229849100112915,1.2222594767808914,2.5859373807907104,3.477640898113863
42,1800.0,100.0,5.2484869956970215,7.457164525985718,2.4191132187843323,1.7518310248851776,3.5312500596046448,4.650723226781002
15,1800.0,125.0,5.888380408287048,8.308731317520142,2.786109447479248,2.0234985649585724,4.0156251192092896,4.115196121995353
6,1800.0,450.0,399.7486877441406,594.969596862793,182.78905868530273,134.0625,263.99999618530273,220.70387549376358
14,1800.0,500.0,459.2152786254883,666.068115234375,213.71191024780273,158.03906440734863,306.49999618530273,310.76552379059535
52,1900.0,75.0,4.044700860977173,7.66862690448761,1.6697846353054047,1.186523512005806,2.5312501192092896,3.243216224605916
20,1900.0,100.0,4.921148419380188,7.246910929679871,2.2185057401657104,1.5996092557907104,3.2499998807907104,4.370696251264949
22,1900.0,125.0,5.498876571655273,7.736062407493591,2.6018142700195312,1.8896484375,3.75,3.6473154289151966
28,1900.0,175.0,6.847974061965942,9.413307905197144,3.2962045073509216,2.4041748046875,4.7343748807907104,4.665584550948006
32,1900.0,250.0,3.0219414830207825,4.132889211177826,1.524519920349121,1.12457275390625,2.1484375,1.9348777527900451
36,1900.0,350.0,20.335443019866943,24.453558921813965,9.70624566078186,6.971679925918579,14.750000238418579,13.886847027479874
39,1900.0,450.0,357.2370147705078,446.73755645751953,164.74609375,120.50000190734863,241.00000381469727,218.35267377004232
50,1900.0,500.0,519.1140747070312,695.4363250732422,229.39453125,168.75,337.5,398.68201712099113
58,2000.0,100.0,5.208680629730225,7.827351093292236,2.313796430826187,1.67083740234375,3.4218749403953552,4.680908282938816
60,2000.0,175.0,7.184125781059265,9.984368085861206,3.4485045075416565,2.5152587890625,4.953125119209289,4.789254390524996
62,2000.0,250.0,3.261197507381439,4.488039314746857,1.5796394646167755,1.1633606255054474,2.2734375298023224,1.8952534802002479
64,2000.0,350.0,19.47448492050171,25.176169872283936,8.081731796264648,5.855712890625,12.1875,9.65320849807913
67,2000.0,450.0,267.3369789123535,321.19312286376953,135.20268440246582,98.47460746765137,198.50000381469727,206.94449965566193
68,2000.0,500.0,389.1718292236328,478.38794708251953,176.27931594848633,127.84570693969727,259.75000381469727,255.27334895555657
69,2400.0,125.0,3.807324469089508,6.1939287185668945,1.701926589012146,1.2343139201402664,2.5078123807907104,2.9079386755857746
70,2400.0,175.0,4.430047571659088,6.170093417167664,2.213619202375412,1.6193847358226776,3.1406250596046448,2.811702662443627
71,2400.0,200.0,4.012049734592438,5.519588589668274,1.9823455810546875,1.4501953125,2.8125,2.7549069291950645
72,2400.0,450.0,35.46729564666748,40.668601989746094,28.309614658355713,26.383299827575684,31.124999523162842,31.54688380895667
73,2800.0,100.0,4.480856657028198,6.752762198448181,1.4687919616699219,1.043701171875,2.2265625,2.169422756146443
74,2800.0,125.0,3.9416900277137756,7.294402122497559,1.693817377090454,1.2124328315258026,2.5234374403953552,2.8940188909581877
75,2800.0,500.0,32.602479457855225,37.43752956390381,26.137704849243164,24.423093795776367,28.812499046325684,29.274289172671402
54,2900.0,75.0,5.062581896781921,7.6294368505477905,1.4684715867042542,0.9924927353858948,2.5156250596046448,4.922128671037326
76,2900.0,100.0,4.512301385402679,6.800150275230408,1.4641140401363373,1.0422668606042862,2.2421875596046448,2.1772606582286267
77,2900.0,125.0,4.074206650257111,7.588860988616943,1.7032241821289062,1.2211913615465164,2.5624999403953552,2.957241450128257
78,2900.0,175.0,4.370677173137665,6.186967492103577,2.133035659790039,1.5472412109375,3.046875,2.741153647641539
79,2900.0,250.0,1.9770869612693787,2.7605298161506653,0.9412078559398651,0.6903076171875,1.3593749701976776,1.2677056280774066
80,2900.0,350.0,5.253453850746155,6.703031659126282,2.1630115807056427,1.5397949516773224,3.3125001192092896,1.9002248090822356
81,2900.0,450.0,17.468140125274658,20.058720111846924,14.112725257873535,13.206299543380737,15.437500476837158,15.600665894586685
82,2900.0,500.0,28.995697498321533,33.29585075378418,23.18511962890625,21.62109375,25.625,26.023905529103203
91,3000.0,75.0,5.660029649734497,8.529804944992065,1.5549945831298828,1.043701171875,2.8125,3.233805666587153
83,3000.0,100.0,4.559468030929565,6.8712317943573,1.473679542541504,1.0443115234375,2.265625,2.1980301087217495
84,3000.0,125.0,4.049363732337952,7.715805172920227,1.6928385198116302,1.2137450277805328,2.5468748807907104,2.9413057851247
85,3000.0,175.0,4.5076584815979,6.439322233200073,2.1802902221679688,1.57470703125,3.125,2.812620680515767
86,3000.0,200.0,3.929498791694641,10.0,1.9008289277553558,1.3770116865634918,2.7049964666366577,2.6529228687286377
87,3000.0,250.0,1.9716684520244598,2.757079601287842,0.9412078559398651,0.6903076171875,1.3593749701976776,1.25748390197501
88,3000.0,350.0,4.929808974266052,6.44525945186615,2.002401351928711,1.431884765625,3.0546873807907104,1.7480876497818252
89,3000.0,450.0,16.195157766342163,18.59695076942444,13.084266185760498,12.243896722793579,14.312499761581421,14.45031126094494
90,3000.0,500.0,26.485095024108887,30.412917137145996,21.233344078063965,19.840455055236816,23.406250476837158,23.7906232513582
