,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
10,1100.0,175.0,39.719703793525696,54.069459438323975,16.874998807907104,11.249999701976776,22.499999403953552,43.58359809048216
39,1100.0,200.0,45.306405425071716,62.5261127948761,22.50000089406967,15.000000596046448,30.000001192092896,34.29579785299558
113,1100.0,225.0,44.133004546165466,68.0492639541626,18.75,12.5,24.999999999999996,27.835295477833927
70,1100.0,250.0,264.79804515838623,408.2955837249756,112.5,75.0,150.0,162.95337627760102
11,1100.0,350.0,2144.864082336426,3307.194137573242,911.2499237060547,607.4999809265137,1214.9999618530273,1251.3154857919553
49,1100.0,450.0,1708.6370468139648,2567.3593521118164,755.8463096618652,548.1738090515137,1113.7499809265137,849.3883616206572
40,1100.0,500.0,2647.980308532715,3604.630661010742,1125.0,750.0,1500.0,1225.5483527420104
32,1200.0,75.0,11.326601356267929,15.631528198719025,5.625000223517418,3.750000149011612,7.500000298023224,7.020665084131996
30,1200.0,100.0,15.554925799369812,22.55043089389801,8.437499403953552,5.624999850988388,11.249999701976776,14.48179752584684
50,1200.0,125.0,19.859851896762848,27.034729719161987,8.437499403953552,5.624999850988388,11.249999701976776,12.055141694073711
114,1200.0,150.0,16.54987782239914,22.528941929340363,7.03125,4.6875,9.375,6.4553725074521475
41,1200.0,175.0,22.653202712535858,34.13300812244415,11.250000447034836,7.500000298023224,15.000000596046448,20.524838466806106
72,1200.0,200.0,22.653202712535858,31.26305639743805,11.250000447034836,7.500000298023224,15.000000596046448,19.050145718549228
115,1200.0,225.0,22.066502273082733,30.038589239120483,9.375,6.25,12.499999999999998,13.77118843755209
31,1200.0,250.0,56.633007526397705,85.33251285552979,28.125,18.75,37.5,40.107643793152334
51,1200.0,350.0,1022.1517562866211,1603.316879272461,405.0000190734863,270.0000047683716,540.0000095367432,798.5052638939892
13,1200.0,450.0,1750.9893417358398,2580.272102355957,793.54248046875,572.16796875,1162.5,828.7667754288391
73,1200.0,500.0,2012.4649047851562,3103.046226501465,854.9999237060547,569.9999809265137,1139.9999618530273,1287.4671899086902
75,1300.0,75.0,8.494950830936432,12.799876928329468,4.218749701976776,2.812499925494194,5.624999850988388,5.236393442238605
14,1300.0,100.0,11.326601356267929,18.50147843360901,5.625000223517418,3.750000149011612,7.500000298023224,10.787761359291578
52,1300.0,125.0,14.158251881599426,21.333128213882446,7.03125,4.6875,9.375,10.366512988445026
139,1300.0,150.0,11.766625940799713,20.13731598854065,7.03125,4.6875,9.375,4.510162462362049
33,1300.0,175.0,16.989901661872864,25.599753856658936,8.437499403953552,5.624999850988388,11.249999701976776,10.598088966494933
74,1300.0,200.0,15.554925799369812,22.55043089389801,8.437499403953552,5.624999850988388,11.249999701976776,14.32950889040307
140,1300.0,225.0,11.798542737960815,16.282841563224792,5.859375,3.90625,7.8125,8.821261161288813
43,1300.0,250.0,22.653202712535858,31.26305639743805,11.250000447034836,7.500000298023224,15.000000596046448,15.265163687089132
53,1300.0,350.0,617.86208152771,1008.4942817687988,262.5,175.0,350.0,566.8425493295274
34,1300.0,450.0,1853.586196899414,2858.0690383911133,787.5,525.0,1050.0,1102.7597865478208
44,1300.0,500.0,1482.8689575195312,2286.4551544189453,629.9999713897705,419.9999809265137,839.9999618530273,843.714819762366
